ID;STAY1;STAY2;STAY;REC1;REC2;REC;MOT1;MOT2;MOT;HOL_IMP;HOL_IMP Comments;General Comments; ;FEEDBACK1;FEEDBACK2;FEEDBACK3;FEEDBACK4;FEEDBACK5;FEEDBACK;CLARITY1;CLARITY2;CLARITY3;CLARITY;ACCURACY1;ACCURACY2;ACCURACY3;ACCURACY;FAIR1;FAIR2;FAIR3;FAIR;SELF_AWARE1;SELF_AWARE2;SELF_AWARE3;SELF_AWARE;INTENT_USE1;INTENT_USE2;INTENT_USE3;INTENT_USE;IMPACT;ROLE_FIT;WORK_MEANING;TENSION;GOAL_FIT;EMPOWER;ACCOUNT;Age Bracket;Tenure;Dev/Non;Holacracy Wave;GENDER;LOCATION
17;4;5;4,5;5;5;5;4;4;4;5;Holocracy provides our meetings with a great deal of flexibility and brings clarity to our roles and how we resolve issues;I feel that leadership is open about the goals of the company and encourage employee participation; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;3;3;4;3,33;4;5;5;4,67;5;4;4;4,33;4;5;4;4;4;5;4;3;4;2;4;2;1
18;4;4;4;5;5;5;4;5;4,5;3;I'm newly hired and Holacracy was already established. It is pretty different from what I'm used to but I like what I've seen so far.;; ;5;5;5;4;5;4,8;5;5;5;5,00;5;5;5;5,00;3;;;3,00;5;5;5;5,00;5;5;5;5,00;5;5;4;4;5;5;2;4;2;2;3;2;4
19;4;4;4;5;5;5;4;4;4;4;;; ;2;2;4;2;2;2,4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;2;4;4;4;4;4;2;4;2;5;1;1
20;4;4;4;4;4;4;4;3;3,5;4;;; ;4;5;4;4;4;4,2;4;4;4;4,00;4;4;4;4,00;3;3;3;3,00;4;5;5;4,67;4;4;4;4,00;5;5;4;4;4;5;2;4;6;2;5;2;5
21;4;4;4;4;5;4,5;5;4;4,5;3;;; ;4;3;4;3;4;3,6;5;4;4;4,33;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;4;5;5;4,67;4;4;4;4;4;4;4;2;4;2;3;2;1
22;4;3;3,5;4;4;4;4;3;3,5;4;It has definitely improved many aspects of the way we operate, but there are still influences outside our control that are directly affecting our ability to deliver on our purpose. This may only affect my team specifically because we are governed by a contract that limits the number of resources the client will pay for and holacrtacy does not provide a way for us to self-manage external clients. We always have top follow what the contract says even if we disagree with it.;Still a great place to work, however the formality of Holacracy has had an impact on culture it seems. I appreciate the focus on better fiscal responsibility, but it was a bit discouraging to see a conversation in slack on the topic of training. A single developer from a given team was very interested in participating in a local development conference, but the lead was still evaluating whether that learning opportunity could be justified in terms of benefit to the team and cost/budget with the circle... Telling someone they can't pursue a learning opportunity because there isn't concrete evidence that it will directly benefit the team doesn't really feel like we're investing in our people... But maybe that's an unfair perspective; ;2;3;4;3;4;3,2;4;4;4;4,00;4;4;3;3,67;4;3;4;3,67;4;3;4;3,67;5;5;5;5,00;4;4;2;3;4;3;4;2;5;2;3;2;2
23;4;4;4;4;5;4,5;4;4;4;3;Still not sure, once everyone buys in and all circles and roles are treated the way they should be, then I feel it will help improve iQ but right now we dont have enough buy-in from all leads and some circles still do not have the ability to set their own priorities. Those circles are still being told from different executives what is most important.;Overall I think iQ is amazing, but we need the buy in and support from higher levels to make sure holacracy works. We have a really solid start but we need all circles to be on the same page before we will see the true benefits of it. Also I think we need to re-think the lead link role. I personally feel it should not be your decision makers or best tech lead. It needs to be a person that is able to lead the circle and make sure things are going smooth and on track. There are a lot of people in the role that are having trouble balancing the lead link roles with Project manager and tech lead roles. These people are getting over stressed and the Lead link role could be used by someone who will find the answers not the one that knows them. We lose too much time with good developers not actually developing because they are tied up in other non technical meetings or chats. Just my two cents.; ;4;5;4;4;4;4,2;4;4;4;4,00;4;4;4;4,00;3;4;4;3,67;3;4;4;3,67;4;4;4;4,00;5;4;4;4;4;4;4;3;6;2;3;2;1
24;4;3;3,5;5;4;4,5;4;4;4;4;;; ;2;3;3;3;3;2,8;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;4;4,00;5;3;4;4,00;4;4;4;3;4;4;4;2;5;2;4;2;2
25;4;2;3;4;4;4;4;4;4;4;;; ;3;4;3;3;3;3,2;4;4;3;3,67;3;2;3;2,67;2;2;3;2,33;4;4;4;4,00;4;4;4;4,00;4;4;3;3;4;4;4;2;6;2;3;2;1
26;4;4;4;5;5;5;4;4;4;4;;; ;3;2;2;2;4;2,6;3;3;2;2,67;4;4;4;4,00;4;4;4;4,00;3;3;4;3,33;5;4;4;4,33;4;4;4;3;4;4;3;2;5;2;4;2;2
27;4;4;4;5;4;4,5;3;4;3,5;3;;; ;2;4;4;4;5;3,8;4;4;4;4,00;4;4;3;3,67;3;3;3;3,00;3;4;3;3,33;4;4;4;4,00;4;5;2;4;4;3;4;2;5;2;3;2;2
28;4;3;3,5;4;3;3,5;4;4;4;4;;; ;2;3;4;2;2;2,6;3;3;3;3,00;4;3;2;3,00;3;3;3;3,00;3;4;4;3,67;4;4;4;4,00;4;4;4;4;4;4;3;2;5;2;3;1;2
29;4;4;4;4;4;4;;4;4;4;;; ;3;4;4;4;4;3,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;5;4,33;4;5;4;4,33;4;4;3;4;4;3;5;2;3;1;2;2;3
30;3;3;3;5;5;5;4;4;4;4;;; ;4;1;4;3;4;3,2;4;3;4;3,67;4;4;4;4,00;4;4;4;4,00;4;4;3;3,67;4;4;4;4,00;5;4;4;4;5;4;4;2;4;1;2;1;3
31;2;2;2;4;4;4;4;4;4;3;"Having clear definitions of what you are accountable for is great.The ""silo-ing"" of roles is bad. It's hard to distribute work fairly this way.";; ;5;4;5;4;5;4,6;5;5;5;5,00;4;4;5;4,33;2;2;2;2,00;4;5;3;4,00;5;4;4;4,33;5;4;4;2;4;4;4;2;5;2;4;2;5
32;4;4;4;5;4;4,5;4;5;4,5;4;;Its been the best Canadian company I have worked for. Management should continue doing what they are doing.; ;3;3;3;3;3;3;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;4;4;3;4;4;4;3;4;1;3;2;2
33;5;5;5;5;5;5;5;5;5;4;;; ;4;4;4;4;4;4;5;5;4;4,67;5;4;4;4,33;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;5;5;5;4;4;4;4;2;2;1;3;2;1
34;4;4;4;4;4;4;4;4;4;4;;; ;4;4;4;4;4;4;4;4;4;4,00;3;3;3;3,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;4;2;2;3;2;2
35;5;3;4;5;5;5;4;5;4,5;4;;; ;1;4;4;4;5;3,6;3;3;2;2,67;3;3;3;3,00;3;3;2;2,67;4;4;4;4,00;4;3;4;3,67;5;5;4;4;4;3;2;2;6;1;3;2;3
36;5;5;5;5;5;5;5;5;5;4;;It would be nice to be able to work from home on a regular basis.; ;4;5;5;5;2;4,2;4;5;5;4,67;4;5;4;4,33;4;4;4;4,00;4;5;5;4,67;5;5;5;5,00;5;5;5;5;4;5;5;3;4;2;3;1;3
38;2;2;2;3;3;3;3;3;3;3;I think everyone has improved except for our Executive layer.;I feel as though our company would be progressing much faster with a technological strategy and tighter clarity brought about by a present Executive.  All things considered, we have a COO driving business strategy and that's it from an Executive perspective ... I never hear from the CEO or CTO. That's not helpful when we're trying to have Enterprise companies (whether client or partner) believe in what we're striving towards as a business.; ;2;4;2;2;4;2,8;3;3;3;3,00;4;4;3;3,67;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;5;5;4;4;4;4;3;2;6;1;3;1;3
39;2;2;2;4;2;3;4;2;3;2;I think IQ needs a new management process that works, I don't believe Holacracy is the way to do it. Its only good for documenting people and roles.;; ;2;2;3;3;2;2,4;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;2;4;4;3,33;4;4;4;4,00;2;4;3;2;4;2;3;2;4;2;4;2;5
40;4;4;4;4;4;4;4;4;4;3;;; ;4;4;4;4;4;4;4;4;2;3,33;4;4;4;4,00;4;4;4;4,00;3;4;4;3,67;4;4;3;3,67;5;4;3;3;4;4;3;2;5;2;3;2;2
41;3;2;2,5;4;4;4;4;4;4;4;We need more broad adoption - specifcally below the lead link level;I appreciate the continous work to get better. We definitely aren't there yet - but I do believe we care to ensure that we are constantly moving in the right direction.; ;2;5;5;2;2;3,2;4;4;3;3,67;4;4;3;3,67;3;3;2;2,67;4;5;5;4,67;4;3;5;4,00;5;5;5;4;4;5;2;2;5;2;3;1;3
42;3;1;2;4;4;4;3;4;3,5;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;5;2;1;2;2
43;2;1;1,5;3;3;3;3;2;2,5;1;;; ;3;4;3;4;2;3,2;3;3;3;3,00;2;3;2;2,33;1;2;2;1,67;2;5;3;3,33;4;3;3;3,33;3;1;1;2;2;2;2;3;7;2;3;2;1
44;2;2;2;3;3;3;2;2;2;3;;There is a lack of diffusion of passion about our purpose as an organization; ;2;2;3;3;3;2,6;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;3;4;3;3,33;4;4;4;4,00;4;2;3;3;4;3;3;2;4;1;5;2;5
45;5;5;5;5;5;5;5;5;5;4;;; ;4;4;4;5;4;4,2;4;4;4;4,00;4;4;3;3,67;3;3;4;3,33;4;4;4;4,00;4;4;5;4,33;5;4;4;4;4;4;4;2;4;2;1;2;2
46;4;4;4;5;5;5;4;4;4;5;;; ;4;5;5;5;5;4,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;3;4;4;4;4;5;2;4;1;3;2;1
47;4;2;3;4;2;3;3;2;2,5;4;There is more clarity in roles than ever before, yet it is still not perfect. There are days when I see obvious positive examples of things that I believe never would have happened before Holacracy, but there are also days when I encounter the same old frustrations of roadblocks that have not changed one bit since adopting Holacracy. So, overall I agree that we're better, because I don't think Holacracy has actually broken anything, it's just highlighted areas where we still need to improve, but haven't yet.;I realize (and am a total believer) that ideas to grow iQmetrix can and should come from anyone in the organization, but we're lacking the language and specificity for where what we're trying to achieve as a company to help guide those ideas... so some ideas get too far down the path before it becomes clear that they are steering us off course and then some ideas never get off the ground that I think could actually help us.; ;4;3;4;2;2;3;5;4;4;4,33;4;4;4;4,00;3;3;2;2,67;3;4;4;3,67;4;3;3;3,33;4;4;2;5;3;2;2;3;7;1;1;1;1
48;2;2;2;4;3;3,5;3;3;3;1;;; ;3;2;3;4;3;3;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;3;3;2;3;3;3;2;6;2;4;2;2
49;4;4;4;4;4;4;4;4;4;4;;; ;4;3;4;4;4;3,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;2;5;1;2;2;1
50;4;2;3;3;2;2,5;4;2;3;5;It amazes me that we were functioning at all, without it. Holacracy has enabled people who normally wouldn't have talked, to meet regularly and voice their own tensions. I don't think people feel as alone as they used to when they're frustrated or have an issue. Holacracy always seems to offer a way forward, providing the next logical step that generally focuses on the work and desired outcomes. It's also teaching us to tackle more immediate issues to chip away at the bigger problems. I do sometimes feel that Holacracy lacks a structure that lets you see the big organizational picture. Cross-circle communication suffers as a result.;"We're losing good people in an industry where a growing number of companies are allowing employees to work remotely. The bigger we get, the more 'corporate stiffening"" seems to occur. It feels like we're turning into those companies we used to make fun of."; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;4;3;3;4;3;3;2;6;1;4;1;1
51;1;1;1;5;2;3,5;1;4;2,5;1;Its like walking into an office of smiling zombies. Nobody knows what they are doing anymore or why. It seems like every one is doing their best to stay employed but no one is working for the same end-goal. We don't always know what the goals are anymore. Holocracy has replaced hearts.;We exist. We are trying to do our best work but its not easy when the goal and purposes is different every week for every group.; ;2;4;4;5;5;4;3;1;1;1,67;3;3;1;2,33;3;3;3;3,00;3;4;4;3,67;5;4;4;4,33;3;3;1;5;3;1;1;2;5;1;2;1;1
52;4;5;4,5;5;5;5;4;5;4,5;4;The company is definitely making strides forward.  Old habits die hard, we need to pay attention to the circles who are always trying to get others to do the heavy lifting of their grand ideas.;What a blessing, I am not so obtuse to think any company is perfect.  But having the ability to discover who I am and the ability to pursue my passions has made me a happier calmer person.  What I have found though is the more I help others, the happier I am.   I still have goals to work on but, know the company I work for will support those goals.   ; ;1;4;3;4;4;3,2;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;4;4,00;5;4;4;4,33;5;5;5;4;4;5;4;3;5;1;2;1;3
53;4;4;4;4;4;4;4;4;4;4;;Although majority rules, I think that so far iQmetrix has listened to situations where alternative solutions are needed and responded well. I think as we go forward as a company, flexibility around benefits and compensation will be important and key to employee satisfaction.; ;5;4;4;4;4;4,2;4;4;4;4,00;4;5;4;4,33;3;;4;3,50;4;4;4;4,00;4;4;3;3,67;4;5;5;3;4;4;4;4;5;2;1;1;5
54;2;2;2;4;4;4;3;3;3;3;In my situation I am siloed in my work which makes it less engaging, but holacracy makes sense for the amount of work I have in my roles. The clarity of what you should be working on is by far the best trait of holacracy.;; ;3;2;4;4;5;3,6;4;4;3;3,67;4;4;4;4,00;3;3;3;3,00;4;4;5;4,33;5;4;5;4,67;4;2;3;4;4;5;4;1;3;2;4;2;5
55;2;3;2,5;3;2;2,5;2;3;2,5;2;We now have mechanisms to address tensions and while Holocracy is able to take care of some issues, it helps exacerbate others like being efficient.;; ;1;4;3;2;2;2,4;2;3;3;2,67;3;3;3;3,00;2;3;3;2,67;4;4;3;3,67;2;3;3;2,67;3;3;2;3;5;1;1;3;6;2;4;2;5
56;5;5;5;5;5;5;5;5;5;4;I am very much looking forward to the roll out of the compensation strategy. Not everyone performs the same so its fair that people shouldn't be rewarded the same. I know what my limitations are and where my contribution level is. I also know where I need to improve and the feedback from my lead and my team is information I will hopefully put into a positive action. There have been many changes that continue to advance the company forward. The fact that these changes stem from these surveys and conversations with employees at all levels of company is very encouraging.;I am very much looking forward to the roll out of the contribution and compensation strategy. Not everyone performs the same so its fair that people shouldn't be rewarded the same. I know what my limitations are and where my contribution level is. I also know where I need to improve and the feedback from my lead and my team is information I will hopefully put into a positive action. There have been many changes all positive and productive changes to continue the company's advance forward. The fact that these changes stem from these surveys and conversation with employees at all levels of company is very encouraging. The trust we all have in each other is amazing, it isn't common in the workplace. No one is boxed in or stereotyped, being empowered to do your job as you see fit or to fill several roles based on talent is incredible. I am excited about these next years and where this company will go.; ;4;4;4;4;4;4;5;4;4;4,33;4;4;4;4,00;4;4;4;4,00;5;5;5;5,00;5;4;5;4,67;5;5;5;4;5;4;4;4;6;1;1;1;3
57;4;4;4;5;4;4,5;4;5;4,5;4;;; ;4;4;5;4;3;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;5;4;4,33;4;4;4;4;4;4;4;2;5;2;3;2;1
58;2;2;2;4;2;3;5;2;3,5;4;I joined when holocracy was adopted. Not sure what it was like before I joined;Be careful not to overwork your employees; ;1;4;4;4;4;3,4;2;2;2;2,00;1;2;2;1,67;1;2;2;1,67;5;4;4;4,33;3;4;4;3,67;5;4;5;5;5;4;1;1;3;1;2;1;3
59;2;2;2;3;3;3;2;2;2;3;;; ;1;4;3;2;2;2,4;3;3;3;3,00;3;3;2;2,67;1;1;1;1,00;2;4;3;3,00;3;3;3;3,00;4;2;1;2;4;1;1;3;6;2;3;1;2
60;2;2;2;4;4;4;3;4;3,5;4;Holacracy helps the communication. The ability to escalate problems to departments beyond workgroup can bring visibility to problems that otherwise didn't receive attention before.  This may not always result in the outcomes you desire but having larger circles above yours hear a complaint or suggestion is better than feeling completely ignored.;; ;2;2;2;2;2;2;4;2;2;2,67;3;3;2;2,67;3;3;3;3,00;4;4;3;3,67;4;4;4;4,00;4;4;2;2;4;2;2;3;5;2;3;2;2
61;3;2;2,5;4;4;4;4;4;4;4;;; ;2;4;4;4;4;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;4;4;4;4;2;4;2;5;1;5
62;4;3;3,5;4;3;3,5;4;4;4;4;;; ;2;4;4;4;4;3,6;3;3;3;3,00;4;3;2;3,00;2;2;3;2,33;4;4;4;4,00;5;4;5;4,67;4;5;3;1;4;4;4;2;4;2;4;2;5
63;2;2;2;3;2;2,5;3;3;3;2;"There is now a lot of ""that's not my circle's role"" going on.  We should all be trying to work together.  Some duties are not assigned to a circle...yet.  That shouldn't be an excuse for not doing the work.";This has not happened to me personally, but there are others in my group that stay up all night working on issues for clients, but never get any recognition for it.  This leads to bad morale and eventually turnover.  If employees are putting in extra time and are always up for the job, they should be recognized for that.; ;2;2;3;2;2;2,2;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;3;3,67;3;3;3;3,00;4;5;5;2;4;4;1;4;4;1;3;1;1
64;2;2;2;2;2;2;3;3;3;2;;; ;2;3;3;4;1;2,6;3;3;3;3,00;3;3;2;2,67;2;2;2;2,00;2;4;3;3,00;4;4;4;4,00;4;4;3;3;1;2;1;2;4;2;4;2;5
65;4;4;4;5;5;5;4;4;4;2;For my team, holacracy didn't change anything, it just added an hour long tactical meeting each week. In my circle, tactical meetings and our weekly scrum meetings (which we did before holacracy) overlap and I feel it's a waste of time to have both.;; ;3;3;4;4;4;3,6;4;4;3;3,67;4;4;3;3,67;4;4;4;4,00;4;4;4;4,00;5;5;5;5,00;4;5;4;4;5;4;4;1;3;2;3;1;2
66;2;2;2;4;4;4;4;2;3;2;;; ;1;2;3;4;2;2,4;3;3;3;3,00;3;3;3;3,00;3;3;4;3,33;4;4;2;3,33;4;4;4;4,00;3;4;4;4;4;4;2;4;4;1;1;2;1
67;5;5;5;4;5;4,5;5;5;5;4;;; ;2;4;3;4;2;3;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;3;3,67;4;4;4;4,00;5;5;4;3;5;5;4;4;3;2;3;1;2
68;4;4;4;4;4;4;4;4;4;4;Even if some aspects of holocracy don't really make sense (or work 100%) for some of the things our circle does, it has definitely made people more aware and more conscious about what they do and how it impacts the goals on the company. In my mind that is worth its weight in gold.;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;6;1;3;2;1
69;4;4;4;4;4;4;4;4;4;3;I did not work for iQmetrix without Holacracy, but I can say that I enjoy this system of management and collaboration far more than any other I have encountered. Even being in a simple volunteer board meeting makes me wish Holacracy was common practice for both inside and outside of the professional office setting.;The sense of support and trust I've felt from my peers since entering my work at iQmetrix is noticeable and appreciated. I've never been apprehensive to voice my opinion or concern, and constructive feedback is given in a way that allows for me to grow, rather than linger of past mistakes.; ;5;5;4;4;4;4,4;4;4;5;4,33;5;4;4;4,33;4;4;3;3,67;4;4;4;4,00;4;4;5;4,33;4;4;4;4;4;4;3;2;3;1;1;1;1
70;4;4;4;4;4;4;3;3;3;3;I wasn't here before Holacracy so I can't say for sure. My teammates seems to like it.;Though currently it seems as though processes are still being worked out, ultimately it seems to be heading in the right direction.  I'm not actually clear on what process or criteria are used to evaluate my contribution (other than peer feedback).; ;4;2;3;4;4;3,4;4;4;3;3,67;3;4;4;3,67;3;3;3;3,00;4;4;3;3,67;4;4;4;4,00;3;4;3;4;4;3;2;3;1;2;3;1;1
71;2;2;2;4;3;3,5;4;4;4;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;2;2;2;2,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;2;1;1;1;2;2
72;4;3;3,5;5;5;5;4;3;3,5;5;;; ;1;5;3;2;2;2,6;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;3;4;3;3,33;5;3;3;3,67;4;4;4;3;5;4;5;3;8;1;3;2;1
73;4;2;3;3;2;2,5;4;1;2,5;4;;; ;1;4;3;2;4;2,8;3;3;3;3,00;3;3;3;3,00;2;2;2;2,00;4;3;3;3,33;4;4;4;4,00;4;2;3;4;4;2;2;2;4;1;2;1;3
74;4;3;3,5;3;2;2,5;4;2;3;2;;; ;4;3;4;3;3;3,4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;4;4;4;4;4;6;2;3;2;1
75;4;4;4;4;4;4;4;4;4;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;2;5;1;3;1;1
76;5;5;5;5;5;5;5;5;5;4;;; ;4;5;5;5;5;4,8;5;5;4;4,67;4;4;5;4,33;4;4;4;4,00;5;5;4;4,67;4;3;4;3,67;5;4;5;5;5;5;4;1;4;1;3;2;1
77;2;1;1,5;4;3;3,5;2;3;2,5;3;Holacracy has improved iQmetrix in terms of it forcing everyone to be accountable for their esponsibilities, but I don't really buy into it anymore since there are clearly a good number of departments ignoring it. It's too hard following Holacracy and non-Holacracy processes at the same time to get work done.;Why does it seem like senior leadership has been deliberately segmented from the rest of the organization? And we continue to shed all kinds of employees. Are we actually having financial issues? Are we really acquiring someone since forever ago? Should we all be stressed about iQmetrix's slow decline? Or should I simply keep focusing on my Product Market's health and ignore iQmetrix's problems?; ;1;4;4;2;3;2,8;2;3;3;2,67;3;3;2;2,67;1;1;1;1,00;4;4;3;3,67;4;4;2;3,33;5;5;2;3;1;4;1;3;6;2;4;2;2
78;5;4;4,5;4;4;4;4;4;4;4;;; ;4;3;4;4;5;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;5;4;4;4;5;5;2;6;2;3;2;2
